seed,tolerance_threshold,final_mean_opinion,final_std_opinion,final_mean_abs_opinion,final_opinion_variance,final_extremist_ratio,final_moderate_ratio,final_homophily_ratio,final_cross_cutting_ratio,final_sign_modularity,final_edge_count
48,0.7,0.004245701669464028,0.5088708069647346,0.4276542026689472,0.2586905486827593,0.143,0.372,0.5072590011614402,0.4927409988385598,0.007189419179978951,3444
49,0.7,0.024970765760380893,0.49607588820200393,0.42256586568727106,0.24584519556855172,0.114,0.364,0.5171202809482002,0.4828797190517998,0.016583243849550705,3417
50,0.7,0.011705495885658267,0.5094716505824467,0.4307181521406387,0.2593018013844555,0.125,0.364,0.5137952176578786,0.4862047823421214,0.010214009815712077,3262
51,0.7,-0.011329745638501584,0.4853961918259078,0.4077074005904604,0.23537385357605445,0.104,0.398,0.49924357034795763,0.5007564296520424,-0.00029157907983812237,3305
52,0.7,0.020459940842834316,0.49274975884373035,0.4173280032318533,0.24255952251571386,0.12,0.376,0.5049561030869442,0.49504389691305584,0.0007114785036060056,3531
53,0.7,0.005827376048904014,0.504605026647888,0.4331131874954722,0.25437160668539743,0.129,0.355,0.5260553129548763,0.4739446870451237,0.026035879988262983,3435
54,0.7,0.015334537000874256,0.4985569614758039,0.4231240882159243,0.24831048479215026,0.112,0.383,0.5002881844380404,0.49971181556195965,-0.0015743972506215564,3470
55,0.7,-0.010118090532875846,0.4944995940515524,0.41766507123868235,0.244285318668633,0.112,0.374,0.5070052539404554,0.49299474605954463,0.004036647752319905,3426
56,0.7,-0.00017679287148500932,0.5115693732367141,0.43418289727735,0.26144152041017077,0.129,0.369,0.5294117647058824,0.47058823529411764,0.026651833728787128,3519
57,0.7,-0.014358478871249261,0.47117781003345527,0.39493478641639423,0.22178652013925493,0.087,0.421,0.509771986970684,0.49022801302931596,0.008758274966303908,3684
58,0.7,-0.004942848298847568,0.4722975017323316,0.39854568615020414,0.22284186521245916,0.088,0.401,0.5100117785630153,0.4899882214369847,0.008771864520876055,3396
59,0.7,0.02376954491087355,0.49814969740013676,0.4222057710435761,0.247904967898828,0.113,0.384,0.5146314012380416,0.48536859876195837,0.013604799440562365,3554
60,0.7,0.010736336496730142,0.4965112683693714,0.415939192203655,0.24627691617814415,0.13,0.406,0.5122838944494995,0.4877161055505005,0.012662345795298513,3297
61,0.7,0.014946949877811536,0.48794221649737685,0.41349884805622117,0.23784951903373258,0.105,0.382,0.5016793893129771,0.49832061068702294,0.001576654490942797,3275
42,0.9,0.005991418161935653,0.5184640817279804,0.44428365845444956,0.26853619903799597,0.223,0.339,0.5155331654072208,0.48446683459277917,0.014509001522180015,3573
43,0.9,-0.013701657072860859,0.5116415264758664,0.4334371440982143,0.2615152745629401,0.225,0.379,0.5106689734717417,0.48933102652825833,0.009650131340303042,3468
44,0.9,0.017529354174948133,0.52064840483529,0.43921563536997404,0.27080368669607446,0.227,0.363,0.5248073959938366,0.47519260400616337,0.02022469803497387,3245
45,0.9,0.040326315966873735,0.520204016316632,0.44282278814952536,0.2703416063733628,0.223,0.359,0.5135942635195697,0.4864057364804303,0.007330220763842044,3347
46,0.9,0.010383289458080654,0.5074801573215297,0.42632615385089184,0.2572785739650095,0.206,0.388,0.5100354191263282,0.4899645808736718,0.008616071428571431,3388
47,0.9,-0.006936178195855029,0.5225828130993149,0.4474676196108144,0.2728197037502466,0.246,0.35,0.5156421514818881,0.4843578485181119,0.01612115101070158,3644
48,0.9,0.007766214228774981,0.5369993815657756,0.46184628196957733,0.2880799674662235,0.26,0.332,0.5154609929078015,0.48453900709219855,0.015077340759494962,3525
49,0.9,0.025827873648357855,0.5185887242686059,0.4386296439049156,0.2686653306736016,0.227,0.38,0.5055370985603543,0.49446290143964566,0.006240858087709716,3612
50,0.9,0.0011229947947172638,0.5167734755385638,0.4336908812295209,0.26678777019518635,0.226,0.39,0.5156838143036386,0.48431618569636137,0.013117803938739597,3188
51,0.9,0.0034110673702848035,0.5013479933901588,0.42160416447878035,0.25109846066586244,0.206,0.398,0.5215838047037809,0.47841619529621915,0.02136236946892403,3359
52,0.9,0.012799914165038503,0.5048619087435943,0.42760419423976953,0.2546306613533251,0.216,0.388,0.5309842041312273,0.46901579586877273,0.027851314849065528,3292
